"Country or Area","Sex","Age","Occupation"
"Ghana","Male","70 - 74","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Male","70 - 74","Professionals (ISCO 88 - 2)"
"Ghana","Male","70 - 74","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Male","70 - 74","Clerks (ISCO 88 - 4)"
"Ghana","Male","70 - 74","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Male","70 - 74","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Male","70 - 74","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Male","70 - 74","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Male","70 - 74","Elementary occupations (ISCO 88 - 9)"
"Ghana","Male","70 - 74","Unknown"
"Ghana","Male","70 - 74","Total (ISCO 88)"
"Ghana","Male","75 +","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Male","75 +","Professionals (ISCO 88 - 2)"
"Ghana","Male","75 +","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Male","75 +","Clerks (ISCO 88 - 4)"
"Ghana","Male","75 +","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Male","75 +","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Male","75 +","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Male","75 +","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Male","75 +","Elementary occupations (ISCO 88 - 9)"
"Ghana","Male","75 +","Unknown"
"Ghana","Male","75 +","Total (ISCO 88)"
"Ghana","Female","5 - 14","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","5 - 14","Professionals (ISCO 88 - 2)"
"Ghana","Female","5 - 14","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","5 - 14","Clerks (ISCO 88 - 4)"
"Ghana","Female","5 - 14","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","5 - 14","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","5 - 14","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","5 - 14","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","5 - 14","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","5 - 14","Unknown"
"Ghana","Female","5 - 14","Total (ISCO 88)"
"Ghana","Female","5 +","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","5 +","Professionals (ISCO 88 - 2)"
"Ghana","Female","5 +","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","5 +","Clerks (ISCO 88 - 4)"
"Ghana","Female","5 +","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","5 +","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","5 +","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","5 +","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","5 +","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","5 +","Unknown"
"Ghana","Female","5 +","Total (ISCO 88)"
"Ghana","Female","15 - 19","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","15 - 19","Professionals (ISCO 88 - 2)"
"Ghana","Female","15 - 19","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","15 - 19","Clerks (ISCO 88 - 4)"
"Ghana","Female","15 - 19","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","15 - 19","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","15 - 19","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","15 - 19","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","15 - 19","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","15 - 19","Unknown"
"Ghana","Female","15 - 19","Total (ISCO 88)"
"Ghana","Female","20 - 24","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","20 - 24","Professionals (ISCO 88 - 2)"
"Ghana","Female","20 - 24","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","20 - 24","Clerks (ISCO 88 - 4)"
"Ghana","Female","20 - 24","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","20 - 24","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","20 - 24","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","20 - 24","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","20 - 24","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","20 - 24","Unknown"
"Ghana","Female","20 - 24","Total (ISCO 88)"
"Ghana","Female","25 - 29","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","25 - 29","Professionals (ISCO 88 - 2)"
"Ghana","Female","25 - 29","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","25 - 29","Clerks (ISCO 88 - 4)"
"Ghana","Female","25 - 29","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","25 - 29","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","25 - 29","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","25 - 29","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","25 - 29","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","25 - 29","Unknown"
"Ghana","Female","25 - 29","Total (ISCO 88)"
"Ghana","Female","30 - 34","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","30 - 34","Professionals (ISCO 88 - 2)"
"Ghana","Female","30 - 34","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","30 - 34","Clerks (ISCO 88 - 4)"
"Ghana","Female","30 - 34","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","30 - 34","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","30 - 34","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","30 - 34","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","30 - 34","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","30 - 34","Unknown"
"Ghana","Female","30 - 34","Total (ISCO 88)"
"Ghana","Female","35 - 39","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","35 - 39","Professionals (ISCO 88 - 2)"
"Ghana","Female","35 - 39","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","35 - 39","Clerks (ISCO 88 - 4)"
"Ghana","Female","35 - 39","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","35 - 39","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","35 - 39","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","35 - 39","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","35 - 39","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","35 - 39","Unknown"
"Ghana","Female","35 - 39","Total (ISCO 88)"
"Ghana","Female","40 - 44","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","40 - 44","Professionals (ISCO 88 - 2)"
"Ghana","Female","40 - 44","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","40 - 44","Clerks (ISCO 88 - 4)"
"Ghana","Female","40 - 44","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","40 - 44","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","40 - 44","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","40 - 44","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","40 - 44","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","40 - 44","Unknown"
"Ghana","Female","40 - 44","Total (ISCO 88)"
"Ghana","Female","45 - 49","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","45 - 49","Professionals (ISCO 88 - 2)"
"Ghana","Female","45 - 49","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","45 - 49","Clerks (ISCO 88 - 4)"
"Ghana","Female","45 - 49","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","45 - 49","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","45 - 49","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","45 - 49","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","45 - 49","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","45 - 49","Unknown"
"Ghana","Female","45 - 49","Total (ISCO 88)"
"Ghana","Female","50 - 54","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","50 - 54","Professionals (ISCO 88 - 2)"
"Ghana","Female","50 - 54","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","50 - 54","Clerks (ISCO 88 - 4)"
"Ghana","Female","50 - 54","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","50 - 54","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","50 - 54","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","50 - 54","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","50 - 54","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","50 - 54","Unknown"
"Ghana","Female","50 - 54","Total (ISCO 88)"
"Ghana","Female","55 - 59","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","55 - 59","Professionals (ISCO 88 - 2)"
"Ghana","Female","55 - 59","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","55 - 59","Clerks (ISCO 88 - 4)"
"Ghana","Female","55 - 59","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","55 - 59","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","55 - 59","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","55 - 59","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","55 - 59","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","55 - 59","Unknown"
"Ghana","Female","55 - 59","Total (ISCO 88)"
"Ghana","Female","60 - 64","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","60 - 64","Professionals (ISCO 88 - 2)"
"Ghana","Female","60 - 64","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","60 - 64","Clerks (ISCO 88 - 4)"
"Ghana","Female","60 - 64","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","60 - 64","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","60 - 64","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","60 - 64","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","60 - 64","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","60 - 64","Unknown"
"Ghana","Female","60 - 64","Total (ISCO 88)"
"Ghana","Female","65 - 69","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","65 - 69","Professionals (ISCO 88 - 2)"
"Ghana","Female","65 - 69","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","65 - 69","Clerks (ISCO 88 - 4)"
"Ghana","Female","65 - 69","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","65 - 69","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","65 - 69","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","65 - 69","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","65 - 69","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","65 - 69","Unknown"
"Ghana","Female","65 - 69","Total (ISCO 88)"
"Ghana","Female","70 - 74","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","70 - 74","Professionals (ISCO 88 - 2)"
"Ghana","Female","70 - 74","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","70 - 74","Clerks (ISCO 88 - 4)"
"Ghana","Female","70 - 74","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","70 - 74","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","70 - 74","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","70 - 74","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","70 - 74","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","70 - 74","Unknown"
"Ghana","Female","70 - 74","Total (ISCO 88)"
"Ghana","Female","75 +","Legislators, senior officials and managers (ISCO 88 - 1)"
"Ghana","Female","75 +","Professionals (ISCO 88 - 2)"
"Ghana","Female","75 +","Technicians and associate professionals (ISCO 88 - 3)"
"Ghana","Female","75 +","Clerks (ISCO 88 - 4)"
"Ghana","Female","75 +","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Ghana","Female","75 +","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Ghana","Female","75 +","Craft and related trades workers (ISCO 88 - 7)"
"Ghana","Female","75 +","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Ghana","Female","75 +","Elementary occupations (ISCO 88 - 9)"
"Ghana","Female","75 +","Unknown"
"Ghana","Female","75 +","Total (ISCO 88)"
"Guam","Both Sexes","16 +","Administrative and Managerial Workers (ISCO 68 - 2)"
"Guam","Both Sexes","16 +","Sales Workers (ISCO 68 - 4)"
"Guam","Both Sexes","16 +","Service Workers (ISCO 68 - 5)"
"Guam","Both Sexes","16 +","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Guam","Both Sexes","16 +","Members of the Armed Forces (ISCO 68 - Y)"
"Guam","Both Sexes","16 +","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Guam","Both Sexes","16 +","Total (ISCO 68)"
"Indonesia","Both Sexes","15 - 19","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","15 - 19","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","15 - 19","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","15 - 19","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","15 - 19","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","15 - 19","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","15 - 19","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","15 - 19","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","15 - 19","Total (ISCO 68)"
"Indonesia","Both Sexes","15 +","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","15 +","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","15 +","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","15 +","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","15 +","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","15 +","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","15 +","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","15 +","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","15 +","Total (ISCO 68)"
"Indonesia","Both Sexes","20 - 24","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","20 - 24","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","20 - 24","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","20 - 24","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","20 - 24","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","20 - 24","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","20 - 24","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","20 - 24","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","20 - 24","Total (ISCO 68)"
"Indonesia","Both Sexes","25 - 29","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","25 - 29","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","25 - 29","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","25 - 29","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","25 - 29","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","25 - 29","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","25 - 29","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","25 - 29","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","25 - 29","Total (ISCO 68)"
"Indonesia","Both Sexes","30 - 34","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","30 - 34","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","30 - 34","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","30 - 34","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","30 - 34","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","30 - 34","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","30 - 34","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","30 - 34","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","30 - 34","Total (ISCO 68)"
"Indonesia","Both Sexes","35 - 39","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","35 - 39","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","35 - 39","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","35 - 39","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","35 - 39","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","35 - 39","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","35 - 39","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","35 - 39","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","35 - 39","Total (ISCO 68)"
"Indonesia","Both Sexes","40 - 44","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","40 - 44","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","40 - 44","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","40 - 44","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","40 - 44","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","40 - 44","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","40 - 44","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","40 - 44","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","40 - 44","Total (ISCO 68)"
"Indonesia","Both Sexes","45 - 49","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","45 - 49","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","45 - 49","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","45 - 49","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","45 - 49","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","45 - 49","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","45 - 49","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","45 - 49","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","45 - 49","Total (ISCO 68)"
"Indonesia","Both Sexes","50 - 54","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","50 - 54","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","50 - 54","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","50 - 54","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","50 - 54","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","50 - 54","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","50 - 54","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","50 - 54","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","50 - 54","Total (ISCO 68)"
"Indonesia","Both Sexes","55 - 59","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","55 - 59","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","55 - 59","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","55 - 59","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","55 - 59","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","55 - 59","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","55 - 59","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","55 - 59","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","55 - 59","Total (ISCO 68)"
"Indonesia","Both Sexes","60 - 64","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","60 - 64","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","60 - 64","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","60 - 64","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","60 - 64","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","60 - 64","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","60 - 64","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","60 - 64","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","60 - 64","Total (ISCO 68)"
"Indonesia","Both Sexes","65 - 69","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","65 - 69","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","65 - 69","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","65 - 69","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","65 - 69","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","65 - 69","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","65 - 69","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","65 - 69","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","65 - 69","Total (ISCO 68)"
"Indonesia","Both Sexes","70 - 74","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","70 - 74","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","70 - 74","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","70 - 74","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","70 - 74","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","70 - 74","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","70 - 74","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","70 - 74","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","70 - 74","Total (ISCO 68)"
"Indonesia","Both Sexes","75 +","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Both Sexes","75 +","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Both Sexes","75 +","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Both Sexes","75 +","Sales Workers (ISCO 68 - 4)"
"Indonesia","Both Sexes","75 +","Service Workers (ISCO 68 - 5)"
"Indonesia","Both Sexes","75 +","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Both Sexes","75 +","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Both Sexes","75 +","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Both Sexes","75 +","Total (ISCO 68)"
"Indonesia","Male","15 - 19","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Male","15 - 19","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Male","15 - 19","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Male","15 - 19","Sales Workers (ISCO 68 - 4)"
"Indonesia","Male","15 - 19","Service Workers (ISCO 68 - 5)"
"Indonesia","Male","15 - 19","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Male","15 - 19","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Male","15 - 19","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Male","15 - 19","Total (ISCO 68)"
"Indonesia","Male","15 +","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Male","15 +","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Male","15 +","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Male","15 +","Sales Workers (ISCO 68 - 4)"
"Indonesia","Male","15 +","Service Workers (ISCO 68 - 5)"
"Indonesia","Male","15 +","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Male","15 +","Workers Not Classifiable by Occupation (ISCO 68 - X)"
"Indonesia","Male","15 +","Production and Related Workers, Transport Equipment Operators and Labourers (ISCO 68 - 7/8/9)"
"Indonesia","Male","15 +","Total (ISCO 68)"
"Indonesia","Male","20 - 24","Professional, Technical and Related Workers (ISCO 68 - 0/1)"
"Indonesia","Male","20 - 24","Administrative and Managerial Workers (ISCO 68 - 2)"
"Indonesia","Male","20 - 24","Clerical and Related Workers (ISCO 68 - 3)"
"Indonesia","Male","20 - 24","Sales Workers (ISCO 68 - 4)"
"Indonesia","Male","20 - 24","Service Workers (ISCO 68 - 5)"
"Indonesia","Male","20 - 24","Agricultural, Animal Husbandry and Forestry Workers, Fishermen and Hunters (ISCO 68 - 6)"
"Indonesia","Male","20 - 24","Workers Not Classifiable by Occupation (ISCO 68 - X)"
